"Method","Bias","MAD","MSE","MAPE","RSFE","TS","Next_Forecast"
"Naïve",16.01,16.27,1253.79,2.45,2113.11,129.87,2210.24
"Moving Average (k=3)",30.91,31.21,2951.98,4.64,4018.52,128.77,2070.19
"Weighted MA",26.03,26.32,2253.53,3.92,3384.27,128.58,2107.135
"Exp. Smoothing",48.52,48.59,5960.01,6.89,6453.81,132.83,2034.73278502296
"Holt (Trend-Adj.)",2.79,20.56,1329.28,3.03,370.91,18.04,2132.48098196538
"Linear Trend",0,265.31,92076.66,107.24,0,0,1524.20902939166
"Seasonal Indices",-2.48,261.67,92356.48,105.85,-330.35,-1.26,1350.40085703865
"Additive Decomp.",-1.16,15.44,433.04,4.98,-139.79,-9.05,NA
"Multiplicative Decomp.",-1.6,8.97,267.66,1.9,-193.91,-21.62,NA
"Regression (Trend+Seasonal)",0,265.79,91552.78,107.57,0,0,1531.46328159645
